skill_name,skill_link,skill_description
Music Gallery,https://www.amazon.com/gyanibano-Music-Gallery/dp/B082DZDLST/ref=sr_1_24?dchild=1&qid=1624575114&rnid=14284832011&s=alexa-skills&sr=1-24,"*Please use the ""Gallery"" skill if you are on display device. Do you want to have your songs/audios library available on the Alexa, then, ""Music Gallery"" is the spot where you get all this. The skill allows you to classify your audios into albums. Just open the skill and select the album you want to listen to. The ""Music Gallery"" is an alternate service to ""Gallery"" which focuses only on Audios and is offered by VoiMes.com. To use this service, you need to register yourself on voimes.com. Once registered, you are allowed to use the services. To use the service, go to the gallery/album section and create some Albums as you want, select albums and then, link audios to those albums. Now, enable our Skill and use it by saying ""Alexa open Music Gallery"". The method is really easy and doesn't involve any complex steps. However, a few steps are mentioned here. Here are some commands: play album sample audios/show album one (To play all the audios) resume/next/previous/pause home/goto home, my feedback is ""could be little better/Awesome/Nice skill"". stop (To end the skill) Steps to access the Services: Step 1: Register/Login on voimes.com Step 2: Enable the skill ""Gallery"" on Alexa and open it by saying ""Open Album Gallery"" Step 3: You will get the code, note this code and get it verified on the Gallery/Albums section of the website Step 4: Once you are verified go ahead and create albums. Step 5: Once albums are created link few media under audios Step 6: Open the skill on Alexa and use it To view the process demo click on the link or visit the faq section on voimes.com https://www.voimes.com/faqs.php You are welcome to drop feedback or give suggestions on what you like or what you don't like. Also, what you want me to improve in the next version. Drop an email on voimesservices@gmail.com."
Classics For Kids,https://www.amazon.com/Cincinnati-Public-Radio-Classics-Kids/dp/B07F5BKHTV/ref=sr_1_12?dchild=1&qid=1624575112&rnid=14284832011&s=alexa-skills&sr=1-12,"Introduce children to classical music in a fun and entertaining way. Once you've enabled the skill, you can say ""Alexa, open classics for kids“ to start listening."
Frida the farmer - farm sounds,https://www.amazon.com/Frida-the-farmer-farm-sounds/dp/B077Q1JQDR/ref=sr_1_22?dchild=1&qid=1624575114&rnid=14284832011&s=alexa-skills&sr=1-22,"Frida the farmer is intended to be the modern equivalent to a picture book. Parents and children can together explore some of the sounds you might encounter on a farm: cows, pigs, tractors, cats. To make it easy for kids, it's enough to say 'okay' or 'yes', to hear the next sound."
Sleep Sound: Relaxation Sounds for Pre-K,https://www.amazon.com/Sleep-Sound-Relaxation-Sounds-Pre-K/dp/B0843PGP6C/ref=sr_1_23?dchild=1&qid=1624575114&rnid=14284832011&s=alexa-skills&sr=1-23,"Sleep Sound: Relaxation Sounds for Pre-K, helps you to play ambient sounds to help you sleep in peace, or block unnecessary noise at work or at home. You'll be able to sleep better with high quality sounds, remain focused, study without interruption, relax quickly, meditate more effectively and get your baby to go to sleep faster!."
Eat & Sing with Sophie Sprout,https://www.amazon.com/Eat-Sing-with-Sophie-Sprout/dp/B07DYBBSDR/ref=sr_1_21?dchild=1&qid=1624575114&rnid=14284832011&s=alexa-skills&sr=1-21,"Eat & Sing with Sophie Sprout by Sprout Foods When mealtime's a blast, little ones take more bites. Moms and dads, choose from 3 features led by a tiny talking sprout, Sophie: 1) Songs. Get your little one munching along to fun songs about healthy foods like an Italian folk song about chickpeas or a funk song about oatmeal. 2) Mealtime adventures. Turn your spoon into an adventure machine by taking it on trips like the classic ""Here comes the airplane."" 3) Eat a pouch with Sophie. She counts and celebrates sips one by one. The next time it’s mealtime, just say, ""Alexa, open Sophie Sprout."" About Sprout Foods Sprout Foods is on a mission to foster an early love for healthy, whole organic foods. Starting with the first ever complete line of plant powered purees and snacks for babies and toddlers, and now, introducing a new Amazon Alexa skill designed to give parents a hands-free, screen-free way to make healthy eating easy and fun. Hungry for more details? Songs Choose from nine songs: Blueberry, Butternut Squash, Chickpea, Cinnamon, Oatmeal, Spinach, Sweet Potato, Colors, or the Sprout Song played in kid-friendly styles like reggae, rock, polka, country, blues and funk. Just say, ""Alexa, ask Sophie Sprout to play a song!"" Mealtime Adventures Choose from three adventures: an airplane fight soaring through the air, a choo-choo train riding through the mountains or a delicious bite of food being chased by a stampede of hungry animals. Just say, ""Alexa, ask Sophie Sprout for a mealtime adventure!"" Eat a Pouch with Sophie Sophie guides little ones through three sips. Each one comes with silly sounds and a big, hearty hip-hip-hooray from Sophie. Just say, ""Alexa, ask Sophie Sprout to eat a pouch!"" Help make Eat & Sing with Sophie Sprout even better by sending your feedback to: sophiesprout@sproutorganicfoods New ideas for food songs, general feedback, videos of dancing babies, it's all good."
The Chickens’ Clucky Birthday Celebration,https://www.amazon.com/The-Chickens-Clucky-Birthday-Celebration/dp/B0916BSPHF/ref=sr_1_18?dchild=1&qid=1624575114&rnid=14284832011&s=alexa-skills&sr=1-18,"It’s time to celebrate not just with your family flock, but now with The Chickens created by Sawyer Ique! Hear their own special birthday card, telling that you can make the cluck-some birthday that you’ve ever wished for! It’ll also bring you a great clucking smile after hearing their card, to let you start the big day, now with new chicken sound effects! You can say ""Alexa, stop"" to exit while you are in the skill."
Music Bop Adventures,https://www.amazon.com/Adassa-Innovations-Music-Bop-Adventures/dp/B0748DNRPQ/ref=sr_1_20?dchild=1&qid=1624575114&rnid=14284832011&s=alexa-skills&sr=1-20,"Welcome to Music Bop Adventures! This Alexa Kids Skill features fun, interactive adventures that encourages movement whilst also incorporating educational themes. There are currently 4 adventures to explore with more adventures available: 1. Space – Hop into a spaceship and zoom into outer space; dance and sing along to the names of the planets in a fun song. 2. Under the Sea - Hop into a submarine and explore the wonders of the sea; bump into various sea creatures, tackle obstacles and sing along with a featured friend. 3. Jungle – Hop into a super jet and explore the wonders of the jungle; swim across the river, avoid wild animals and sing along with a featured friend. 4. Weather - Hop into a super jet and tinker with a weather machine; tackle the different weather types as they come. ----------------------------- GOLD SUBSCRIPTION ----------------------------- 5. Sky Adventure 6. Cave Adventure 7. North Pole Adventure 8. Dinosaur Adventure 9. Pirate Adventure Each adventure begins with the same theme tune. To begin the adventures, please use any of the following Alexa commands: “Alexa, ask Music Bop to play adventures” “Alexa, ask Music Bop to shuffle adventures” To play one specific adventure, please use any of the following Alexa commands: “Alexa, ask Music Bop to play Space adventure” “Alexa, ask Music Bop to play Under the Sea adventure” “Alexa, ask Music Bop to play Jungle Adventure”"
Superhero Trivia,https://www.amazon.com/Rahul-Awari-Superhero-Trivia/dp/B088R1XR9S/ref=sr_1_19?dchild=1&qid=1624575114&rnid=14284832011&s=alexa-skills&sr=1-19,Alexa quizzes you on trivia topics. Provide the answer and try to achieve a high score. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
Dragon story,https://www.amazon.com/Zane-davis-Dragon-story/dp/B08WB2MKHS/ref=sr_1_32?dchild=1&qid=1624575114&rnid=14284832011&s=alexa-skills&sr=1-32,Play an interactive adventure-themed story.
Quién le toca,https://www.amazon.com/Nena-Who-touches-him/dp/B08WR67TR2/ref=sr_1_30?dchild=1&qid=1624575114&rnid=14284832011&s=alexa-skills&sr=1-30,"La próxima vez que estés tratando de decidir a quién le toca escoger algo o hacer alguna tarea, solo pídele a Alexa que te ayude. Por ejemplo, si estás tratando de decidir a quién le toca escoger una película en una noche de película, Alexa puede seleccionar al azar el nombre de alguien de la lista. O si estás tratando de decidir quién debe sacar la basura, ¡Alexa también puede ayudar con eso!"
JUMP 105.3 Pittsburgh,https://www.amazon.com/Tape-It-Up-Reproductions-Pittsburgh/dp/B08WLXC8K6/ref=sr_1_31?dchild=1&qid=1624575114&rnid=14284832011&s=alexa-skills&sr=1-31,"Music For The Whole Family! Broadcasting Children's Music From Pittsburgh, Pennsylvania To The World!"
Whose Turn,https://www.amazon.com/Jay-Whose-Turn/dp/B08XXTVZ2P/ref=sr_1_29?dchild=1&qid=1624575114&rnid=14284832011&s=alexa-skills&sr=1-29,"Next time you're trying to decide whose turn it is pick something or perform a task, just ask Alexa for help. For example, if you're trying to decide whose turn it is to pick a movie on movie night, Alexa can randomly select someone's name from the list. Or if you're trying to decide who should take out the trash, Alexa can help with that too!"
Whose Turn,https://www.amazon.com/Tina-Whose-Turn/dp/B08XXWGHMF/ref=sr_1_28?dchild=1&qid=1624575114&rnid=14284832011&s=alexa-skills&sr=1-28,"Next time you're trying to decide whose turn it is pick something or perform a task, just ask Alexa for help. For example, if you're trying to decide whose turn it is to pick a movie on movie night, Alexa can randomly select someone's name from the list. Or if you're trying to decide who should take out the trash, Alexa can help with that too!"
Nana's birthday,https://www.amazon.com/A-Wilcher-Nanas-birthday/dp/B08VNQX21F/ref=sr_1_33?dchild=1&qid=1624575116&rnid=14284832011&s=alexa-skills&sr=1-33,"Celebrate special occasions with your loved ones. When you open the skill, Alexa will play a slideshow with rich images and audio. You can say ""Alexa, stop"" to exit anytime."
Frozen SING!,https://www.amazon.com/Disney-Frozen-SING/dp/B08R176V45/ref=sr_1_41?dchild=1&qid=1624575116&rnid=14284832011&s=alexa-skills&sr=1-41,"Roll out the red carpet and get ready to shine in the spotlight in Disney's Frozen Sing! Take to the stage and sing before a crowd of Frozen fans. You'll have two ways to sing: When you're in ""in rehearsal"", you'll be guided through a performance as you learn the words to a song and find your true royal voice. And when you're ""in the spotlight"", you'll sing on your own with the song's vocals set at a volume you prefer. So bring your microphone, your crown, and that awesome voice of yours and get ready to be the star you always knew you were. Frozen Sing includes the Disney Frozen song ""For the First Time in Forever"". More songs from Disney's Frozen and Disney's Frozen 2 are available in Frozen Sing through Amazon Kids+ subscriptions. Copyright © 2020 Disney Privacy Policy: https://privacy.thewaltdisneycompany.com/en/ Children’s Online Privacy Policy: https://privacy.thewaltdisneycompany.com/en/for-parents/childrens-online-privacy-policy/ Do Not Sell My Info: https://privacy.thewaltdisneycompany.com/en/dnsmi/ Terms of Use: https://disneytermsofuse.com/english/"
My Countdown,https://www.amazon.com/New-Year-My-Countdown/dp/B08RZ5LQRS/ref=sr_1_39?dchild=1&qid=1624575116&rnid=14284832011&s=alexa-skills&sr=1-39,"Open the skill and ask Alexa for one of the pre-defined countdown timers. Alexa will read the into message and the countdown (10, 9, 8, ... 3, 2, 1), and then play a fun sound effect. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer."
Chore chart,https://www.amazon.com/Barbara-Chore-chart/dp/B08R3WNZL7/ref=sr_1_40?dchild=1&qid=1624575116&rnid=14284832011&s=alexa-skills&sr=1-40,"Use this skill to keep track of chores that are assigned to each member of your household. You can ask Alexa to read the list of chores that are assigned to you each day, and you can log your chores as you complete them. Alexa automatically keeps score so you can complete with family members to see who finishes their chores first. Or last! The chore tracker automatically resets on Sunday each week. This skill was created using a Skill Blueprint.  Your requests to this skill are not shared with the skill developer."
New Year’s Countdown,https://www.amazon.com/Esmeralda-Olivares-New-Years-Countdown/dp/B08RZ63996/ref=sr_1_38?dchild=1&qid=1624575116&rnid=14284832011&s=alexa-skills&sr=1-38,"Open the skill and ask Alexa for one of the pre-defined countdown timers. Alexa will read the into message and the countdown (10, 9, 8, ... 3, 2, 1), and then play a fun sound effect. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer."
Mom's Story,https://www.amazon.com/Modupe-Folarin-Moms-Story/dp/B08SQNFTWS/ref=sr_1_36?dchild=1&qid=1624575116&rnid=14284832011&s=alexa-skills&sr=1-36,Listen to a personalized story that's all about mom and narrated by Alexa.
WEE Nation Radio,https://www.amazon.com/autopo-st-WEE-Nation-Radio/dp/B08SBYX1M5/ref=sr_1_37?dchild=1&qid=1624575116&rnid=14284832011&s=alexa-skills&sr=1-37,WEE Nation Radio. WEENationRadio - Family-Friendly Global Beats for Little Feet!
Graves Chores,https://www.amazon.com/Mom-Graves-Chores/dp/B08TC9C9WN/ref=sr_1_35?dchild=1&qid=1624575116&rnid=14284832011&s=alexa-skills&sr=1-35,"Use this skill to keep track of chores that are assigned to each member of your household. You can ask Alexa to read the list of chores that are assigned to you each day, and you can log your chores as you complete them. Alexa automatically keeps score so you can complete with family members to see who finishes their chores first. Or last! The chore tracker automatically resets on Sunday each week. This skill was created using a Skill Blueprint.  Your requests to this skill are not shared with the skill developer."
Chloe's Revenge,https://www.amazon.com/Curtis-Knight-Chloes-Revenge/dp/B08PNWQDVZ/ref=sr_1_42?dchild=1&qid=1624575116&rnid=14284832011&s=alexa-skills&sr=1-42,Play an interactive adventure-themed story with sound effects and prompts. Get ready for laughs and giggles as players fill in the blanks. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
Whose Turn,https://www.amazon.com/Unidentified-personnel-Whose-Turn/dp/B08LBM9KB1/ref=sr_1_48?dchild=1&qid=1624575116&rnid=14284832011&s=alexa-skills&sr=1-48,"Next time you're trying to decide whose turn it is pick something or perform a task, just ask Alexa for help. For example, if you're trying to decide whose turn it is to pick a movie on movie night, Alexa can randomly select someone's name from the list. Or if you're trying to decide who should take out the trash, Alexa can help with that too! Random cat "
How Many Days,https://www.amazon.com/Wunder-Family-How-Many-Days/dp/B08P3L2L8F/ref=sr_1_44?dchild=1&qid=1624575116&rnid=14284832011&s=alexa-skills&sr=1-44,Open the skill and Alexa will automatically tell you how many days remain until all your upcoming events. Alexa can also remind you about the exact date for a specific events. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
Unicorn sparkles pastel,https://www.amazon.com/Tenley-Unicorn-sparkles-pastel/dp/B08N4DYXQK/ref=sr_1_46?dchild=1&qid=1624575116&rnid=14284832011&s=alexa-skills&sr=1-46,"Next time you're trying to decide whose turn it is pick something or perform a task, just ask Alexa for help. For example, if you're trying to decide whose turn it is to pick a movie on movie night, Alexa can randomly select someone's name from the list. Or if you're trying to decide who should take out the trash, Alexa can help with that too!"
