skill_name,skill_link,skill_description
Freeze Dancers,https://www.amazon.com/Pretzel-Labs-Freeze-Dancers/dp/B078THGXTG/ref=sr_1_6?dchild=1&qid=1624647486&rnid=14284832011&s=alexa-skills&sr=1-6,"Crazy version of the classic Freeze Dance!  Dance in wacky ways and freeze when the music stops. If the kids are on a sugar rush or just having a crazy indoor day, open Freeze Dancers and let them go on and on and on. This game doesn't stop until the last kid drops! ***UPDATED on April 2019 with a brand new SPACE pack! While playing, try saying ALEXA, DANCE IN SPACE! *** If you like Freeze Dancers, please take the time to leave a review <3 Feedback is also always welcome at pretzel.voice@gmail.com  Check out www.pretzellabs.co for more fun skills and updates!  Happy dancing!  Music by: Ben Sound: https://www.bensound.com/ Purple Planet: http://www.purple-planet.com Audeeyah: https://audeeyah.com/free-royalty-free-music"
Animal Workout,https://www.amazon.com/For-Jack-Jill-Animal-Workout/dp/B077Y6XNK2/ref=sr_1_7?dchild=1&qid=1624647486&rnid=14284832011&s=alexa-skills&sr=1-7,"The kids need something to do (or maybe you just need a break from the wonderful darlings).  Look no further - this skill, Animal Workout, allows kids to become different animals while getting exercise.  Animal Workout will offer up encouraging words as they go along to also boost motivation and confidence.  This skill is great for rainy days and sunny days too! When in the skill, to continue on say ‘More’ and when you’re finished say ‘All Done’. Update History: Dec 2020 - Removed in-skill purchasing and made all content free.  There is nothing purchasable and no upsells in this skill. Jun 2019 - Added expansion pack option with 55 new animals and moves including make-believe creatures, farm animals, bugs, and more May 2019 - Per user feedback, removed reference to climbing and fixed animal scrolling issue on echo spots Dec 2018 - Added voice over, sounds effects, and new music to all animals Oct 2018 - Added images for screen devices Jun 2018 - Added more animals, including a monster - rar! Voice over by Envy McKee Illustrations, including icon, by Drawkman Music from Chad Tenwick Audio, Pond 5, with introduction by FreeSFX"
Freeze Dance,https://www.amazon.com/Appy-Sloth-Inc-Freeze-Dance/dp/B078S3DHXC/ref=sr_1_12?dchild=1&qid=1624647486&rnid=14284832011&s=alexa-skills&sr=1-12,"Get ready to dance to these fun, kid-friendly beats as you and your child explore imaginary worlds together. When the music stops, practice freezing like statues. Then, get moving again when the music starts. Your child can dance their way through the alphabet or the Amazon Rainforest, learning a little about each subject along the way. This is a great game to play after school, during playdates, at parties, on rainy days, or when your child has some extra energy and needs to move. If you enjoy Freeze Dance, please leave us a review. Thank you! Music: DLSounds and Ben Sound"
Disney Trivia,https://www.amazon.com/Disney-Trivia/dp/B07H44968P/ref=sr_1_13?dchild=1&qid=1624647486&rnid=14284832011&s=alexa-skills&sr=1-13,"Welcome to Disney Trivia! Kids and families can test their knowledge on everything Disney, from movies, to television, to music, to the Disney Parks and Resorts.  One round of trivia is available to everyone. You can unlock more rounds by purchasing the Pack of 120 Disney Trivia questions. Additional rounds are also available through Freetime Unlimited subscriptions. Copyright ©2018 Disney  Copyright ©2018 Disney/Pixar Privacy Policy:  https://privacy.thewaltdisneycompany.com/en/ Children’s Online Privacy Policy: https://privacy.thewaltdisneycompany.com/en/for-parents/childrens-online-privacy-policy/ Do Not Sell My Info: https://privacy.thewaltdisneycompany.com/en/dnsmi/ Terms of Use: https://disneytermsofuse.com/english/"
Red Riding Hood - Interactive story for kids,https://www.amazon.com/Red-Riding-Hood-Interactive-story/dp/B07BC7G4JH/ref=sr_1_11?dchild=1&qid=1624647486&rnid=14284832011&s=alexa-skills&sr=1-11,"*** UPDATE*** We have added support for Māori language - now you can learn and entertain at the same time! From the Twisted Tales library, Red Riding Hood is an immersive interactive story for kids that lets you – the listener – play the part of Red Riding Hood OR the Big Bad Wolf, living the stories from their point of view! Red Riding Hood is walking through the woods, taking a lovely meal to her ailing grandmother. She has been warned about the big bad wolf, but when she meets a shaggy stranger, he insists he is the big good wolf. Should she trust him? You decide. Will she survive the meeting? It’s all up to you. Currently there are two stories available. To play them, just say: “Alexa, open Red Riding Hood” or “Alexa, open Hansel & Gretel” Twisted Tales include: * Multiple choices and alternative endings * Possibility to play story from Red Riding Hood AND Big Bad Wold point of view * Professional voice acting * Immersive music * Flawless sound effects Māori version of the story was funded by Perpetual Guardian Trust New Zealand. FEEDBACK: Please leave us a review if you like our skill, or send us an email with your suggestions and what new stories would you like us to make at contact@sonnar.nz.  For more stories please visit www.sonnar.nz/twisted-tales or search for sonnar interactive in your Alexa app."
Oh! Pet Matcher,https://www.amazon.com/Yashwant-Oh-Pet-Matcher/dp/B085HB56W9/ref=sr_1_16?dchild=1&qid=1624647486&rnid=14284832011&s=alexa-skills&sr=1-16,"Check the combination of the traits that you want your pet to have and know the breed of pet,Alexa have in the lot!! to suggest as per your input."
My Game Show,https://www.amazon.com/Charlie-Merlo-My-Game-Show/dp/B07WHV72T8/ref=sr_1_19?dchild=1&qid=1624647489&rnid=14284832011&s=alexa-skills&sr=1-19,"Buzz in with Echo Buttons in this fun trivia game show. This game requires at least 2 Echo Buttons. Echo Buttons offer a new way to play game skills through your compatible Echo device. To learn more just ask ""Alexa, what are Echo Buttons?""    Get two to four contestants together to star in this game show! In each round, Alexa will ask a question. Players will buzz in with their Echo Buttons to answer. As you play, Alexa will let you know if you're right or wrong and track your score. The contestant with the most correct answers wins!   While playing, you can say ""Alexa, repeat that"" to hear Alexa read the question again. You can also say, ""Alexa, what are the scores?"" to hear a score report. You can say, ""Alexa, help!"" to hear about what you can do next. You can say, ""Alexa, start over"" if you want to abandon the current game and pick up from the beginning. At any time you can say, ""Alexa, stop"" to halt the current game. If you had already started a game, Alexa will remember where you stopped and pick back up from the last question asked, when you next launch the skill. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer."
My Fluffy Friend,https://www.amazon.com/Pawel-Matusz-My-Fluffy-Friend/dp/B078X251SS/ref=sr_1_20?dchild=1&qid=1624647489&rnid=14284832011&s=alexa-skills&sr=1-20,"You start by selecting your cute and funny Fluffy Friend. Your goal is to take care of it and level it up. It's simple - your Fluffy Friend needs knowledge and fun to grow. Interact with it, find out what it needs, what it likes, and play along! As you explore the rich content of this kids skill with your Fluffy Friend, you gain experience points and level up your Fluffy Friend. You can do a lot already from the start: play number games, practice times tables, listen to interactive stories, play quiz games or sing nursery rhymes together, and much more! At first your Fluffy Friend can only do a few simple things, but as it levels up it becomes able to do much more and the challenges become harder and more diverse. You will want to keep coming back to play with your Fluffy Friend to keep discovering and learning new things. Don't worry if you have to leave and come back later - your Fluffy Friend will be waiting for you, ready to pick up where you left it. Take good care of your Fluffy Friend! Here are a few things to try once you open the skill and choose your Fluffy Friend: - Play a story - Play animal quiz - Play music quiz - Play some music - Practice times tables - Tell a joke - What is my score? - What can I do? This skill's content is suitable for all ages."
Bedtime Story,https://www.amazon.com/Ty-Bedtime-Story/dp/B083LLFKHZ/ref=sr_1_18?dchild=1&qid=1624647489&rnid=14284832011&s=alexa-skills&sr=1-18,Play an interactive adventure-themed story with sound effects and prompts. Get ready for laughs and giggles as players fill in the blanks. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
Would You Rather for Kids,https://www.amazon.com/Would-You-Rather-for-Kids/dp/B07CZ3V556/ref=sr_1_23?dchild=1&qid=1624647489&rnid=14284832011&s=alexa-skills&sr=1-23,"Would You Rather for Kids is a simple but addicting game where you make a choice between two lighthearted and silly situations. Will the rest of the world agree with your decision? You have to try the skill to find out! Enjoy hundreds of fun, family-friendly questions to keep all ages entertained for hours. With multiplayer mode, you can enjoy the game with your entire family or play by yourself. Play Would You Rather at a sleepover, at a party, on family game night or simply to pass time. Questions are continually added so check back often for updates. Editions include: -Standard  -Magic -Hogwarts -Animals -Superhero -Christmas Points and Leaderboard:  Earn two points for each question you play. It doesn't matter if your response matches the majority. There is one account for the family, so points for your parents, siblings count towards your account and help you climb the leaderboard faster. More reason to play with family. Remember Tuesday and Thursday are double point days. Earn 4 points for each question you play.  While playing you can access the leaderboard by saying ""Alexa, show my leaderboard""  Badges: You can earn the Explorer and Expert badges for each edition. You can get an ""Explorer"" badge on completing the first round of an edition. You earn the ""Expert"" status once you play 5 rounds of the same editions. While playing you can access the badges by saying ""Alexa, my badges"""
Virtual Dog,https://www.amazon.com/Naman-Chhabra-Virtual-Dog/dp/B07JJKJNNN/ref=sr_1_22?dchild=1&qid=1624647489&rnid=14284832011&s=alexa-skills&sr=1-22,"No need to be sad or feel lonely ever again. This obedient dog will lighten up your mood. Make him do whatever you feel like! Unlike the real dogs, it listens to you and it won't require any food (just electricity) nor make your house messy. It helps to keep intruders away! - Try saying ""Bark at him"" or ""Scare him away"". Actions supported currently: Howling  Growling Woofing Whining  Barking Licking Scaring Biting You can say: ""Alexa, launch Virtual Dog"" ""Alexa, Ask my dog to bark at him"" ""Come on, whine for me"" ""Bite him "" ""Lick her"""
Talking Lucy,https://www.amazon.com/VOXOGENIC-TECHNOLOGIES-PVT-LTD-Talking/dp/B07L8F9RWS/ref=sr_1_27?dchild=1&qid=1624647489&rnid=14284832011&s=alexa-skills&sr=1-27,"Your new best friend is here! Talking Lucy! Play with Lucy everyday, take care of her as your own pet. Teach her new things by talking to her everyday. Lucy will repeat everything that you say."
Fishing quiz,https://www.amazon.com/Casting-with-cal-Fishing-quiz/dp/B08C4MFR3Q/ref=sr_1_25?dchild=1&qid=1624647489&rnid=14284832011&s=alexa-skills&sr=1-25,Alexa will read aloud to you and ask you questions about each passage. Test your listening comprehension by remembering facts and details. Answer correctly and achieve a high score. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
Yes or No Response Decision Helper,https://www.amazon.com/Yes-No-Response-Decision-Helper/dp/B078SHVFQQ/ref=sr_1_21?dchild=1&qid=1624647489&rnid=14284832011&s=alexa-skills&sr=1-21,Gives a Random Yes or No answer
The Zoo Game - fun animal game for kids and family,https://www.amazon.com/Zoo-Game-animal-game-family/dp/B07X1HY2NV/ref=sr_1_26?dchild=1&qid=1624647489&rnid=14284832011&s=alexa-skills&sr=1-26,"You are the boss of Zoo Land. Your workers will come to you with 5 questions, and it's up to you to tell them what to do next. Make the right decisions and the zoo will keep running smoothly. However, make a few wrong moves and who knows what those cheeky animals will be getting up to... You will score points based on your decisions, and have your high score stored to try and beat next time. Good luck! ******************** Latest Updates: - Database of Zoo Land scenarios extended by 20%+ - Compete against other players for the daily high score! - Added helper prompt in case a child took too long or tried something other than yes/no answer - Sound effect to celebrate your good decisions! :) (daily score based on UTC time zone)"
Tales of Myth,https://www.amazon.com/Baron_Soontir_Fel-Tales-of-Myth/dp/B08XXVB3FH/ref=sr_1_24?dchild=1&qid=1624647489&rnid=14284832011&s=alexa-skills&sr=1-24,Play an interactive adventure-themed story with sound effects and prompts. Get ready for laughs and giggles as players fill in the blanks. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
Fairy Tale Island,https://www.amazon.com/Hypnotic-Owl-UG-haftungsbeschr%C3%A4nkt-Island/dp/B078YTFXWM/ref=sr_1_29?dchild=1&qid=1624647489&rnid=14284832011&s=alexa-skills&sr=1-29,"Oh no! A mean old wizard has stolen all the fairy tales and taken them to a secret island far away! Can you help them remember who they are to break the spell that holds them captive? Fairy Tale Island is a cute narrative quiz game for kids. Explore the island to find classic fairy tales, who have forgotten who they are. Reveal their identity by answering questions about their tale and finally calling out their name! Of course you can always get a tip, if you're stuck ;) (Icon made by Freepik from www.flaticon.com)"
Roblox Trivia,https://www.amazon.com/Jacob-Roblox-Trivia/dp/B08L57SK6Q/ref=sr_1_31?dchild=1&qid=1624647489&rnid=14284832011&s=alexa-skills&sr=1-31,Alexa quizzes you on trivia topics. Provide the answer and try to achieve a high score. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
Answers at questions,https://www.amazon.com/Chris-Answers-at-questions/dp/B0834MS7F8/ref=sr_1_17?dchild=1&qid=1624647489&rnid=14284832011&s=alexa-skills&sr=1-17,Ask Alexa any of the questions that are included in the skill and she'll provide the corresponding answer. This skill was created using a Skill Blueprint.  Your requests to this skill are not shared with the skill developer.
The Loud House Challenge,https://www.amazon.com/Nickelodeon-The-Loud-House-Challenge/dp/B079Q89NRS/ref=sr_1_28?dchild=1&qid=1624647489&rnid=14284832011&s=alexa-skills&sr=1-28,"Every day, Lincoln Loud has to work through the chaos of his house to get anything done. But now, you can help him in The Loud House Challenge! Follow Lincoln around the house as he tries to help his sisters—Lori, Leni, Luna, Luan, Lynn, Lucy, Lana, Lola, Lisa and Lily—with all the crazy curveballs they throw at him. You’ll help Lincoln gather supplies for an epic sleepover, remake a birthday cake that fell on the floor, and get Lily to take her nap! Can you and Lincoln save the day in the Loud House? To enable the skill, simply say ""Alexa, open Loud House Challenge”. To quit, just say ""Alexa, quit"" anytime during the game. The Loud House Challenge skill is for kids and fans aged 6+. “The Loud House Challenge is also part of a FreeTime Unlimited Subscription. For more information on FreeTime Unlimited, go to https://www.amazon.com/freetimeunlimited.” For issues, questions, or comments please email us at amazonalexa@nick.com. We want to hear directly from you! ------------------------------------------------------------------------------------------------------------------------------ The Loud House Challenge Alexa Skill collects personal user data as well as non-personal user data (including aggregated data). User data collection is in accordance with applicable law, such as COPPA. User data may be used, for example, to respond to user requests; enable users to take advantage of certain features and services; customize the user experience and content; and manage and improve Nickelodeon's services. For more information regarding Nickelodeon’s use of data, please visit the Nickelodeon Group Privacy Policy below. Our Privacy Policy is in addition to any terms, conditions or policies agreed to between you and Amazon.com, Inc., and Nickelodeon and its affiliated entities, including Earplay, Inc. are not responsible for Amazon's collection or use of your personal user data and information. Use of this skill is subject to the Nickelodeon End User License Agreement. The Loud House Challenge Alexa Skill may include the use of anonymous persistent identifiers for skill management purposes and enabling this skill constitutes your permission to such usage of anonymous persistent identifiers for all users on your device. Disabling this skill will a) permanently disable use of a previous anonymous persistent identifier, and b) disconnect all user experience data from the previously related account managed by Amazon. End User License Agreement: http://www.nick.com/nick-eula/ Privacy Policy: http://www.nick.com/privacy-policy/ The End User License Agreement for this app includes arbitration for disputes – see FAQs: http://www.nick.com/faqs/ Skill description updated as of 07/01/2019"
Fan Disney Trivia Game (For Buttons),https://www.amazon.com/Fan-Disney-Trivia-Game-Buttons/dp/B07FPL5KSV/ref=sr_1_32?dchild=1&qid=1624647489&rnid=14284832011&s=alexa-skills&sr=1-32,This game requires at least 1 Echo Button. Think you know more than your friends about disney films?  Challenge your friends and family to the disney trivia quiz and put your disney knowledge to the test. The player with the most correct answers wins the game! If you love this app please rate it 5 stars and leave feedback so i can continue to make fun Alexa skills!
Sesame Street,https://www.amazon.com/Sesame-Workshop-Street/dp/B073XBBWRQ/ref=sr_1_30?dchild=1&qid=1624647489&rnid=14284832011&s=alexa-skills&sr=1-30,"Hello, it’s Elmo! When children ask to “Open Sesame Street,” they’ll be able to speak directly to their furry red friend. Elmo's so excited! He can’t wait to share all the fun things he knows about the letter of the day. And Elmo's always up for a good game of Hide & Seek, with silly sounds as clues to where he’s hiding. Sesame Street encourages kids to engage in imaginative play, learn new words, and just be giggly together with the voice of a familiar, fun-loving friend. We hope your preschoolers have fun playing and learning with Elmo. We’re learning all the time, too, and really welcome the input of families like yours. Try Saying Things like: “Alexa, open Sesame Street” “Alexa, ask Sesame Street to call Elmo” “Alexa, ask Sesame Street to play Hide & Seek” ""Alexa, ask Sesame Street to find Elmo"""
Hotel Transylvania Stories,https://www.amazon.com/Sony-Pictures-Entertainment-Transylvania-Stories/dp/B07D9BG5ZD/ref=sr_1_44?dchild=1&qid=1624647491&rnid=14284832011&s=alexa-skills&sr=1-44,"The monsters from the new movie Hotel Transylvania 3: Summer Vacation, come together in this fun kids skill. Drac’s Pack will read you a monster story or sing you a nursery rhyme with a monster twist. You can also meet members of Drac's Pack. It’s as easy as, “Alexa, tell Hotel Transylvania to sing a nursery rhyme”. Look online for secret phrases that unlock hidden monster surprises such as, “Alexa, ask Hotel Transylvania for a joke”."
Scientist Escape the Room 7 (Santa Edition),https://www.amazon.com/Scientist-Escape-Room-7-Santa/dp/B08XXLPQGF/ref=sr_1_33?dchild=1&qid=1624647491&rnid=14284832011&s=alexa-skills&sr=1-33,"Welcome to Scientist Escape the room 7 by Dr. Song.  <This is Pandemic edition!> You wake up and find yourself turned into Santa. You have to escape the room with Rudolph. You have use clues and think scientifically to handle this situation! Look around to collect clues (information), check objects that you find and Use the clues together with a simple scientific knowledge. Once you understand the clues, you carry out your brilliant way for this situation! To start, just say ""Alexa, open scientist escape the room 7"" <Contact info: If you have any question or suggestion, please leave comments.> <About this version> This game is free to play now. <How to play> If you want to look around to collect clues, Say ""Look forward"" or ""Look right"". (Forward, up, down, right, and left) If you find something and get more information(clue) from an object found, Say, for example, ""Check the door"". If you want to use an object you found on the other object, Say, for example, ""Use the red key on the bathtub"".  If you want to listen to the instruction again, Say, ""Help me"". If you need a hint, Say, ""Give me a hint"". If you need more time, Say ""More time"". You can leave, stop, quit the game anytime by saying ""Stop"" or ""Quit""."
Hansel and Gretel - Interactive Story for kids,https://www.amazon.com/Hansel-Gretel-Interactive-Story-kids/dp/B07CNFKGTD/ref=sr_1_43?dchild=1&qid=1624647491&rnid=14284832011&s=alexa-skills&sr=1-43,"From the Twisted Tales library, Hansel & Gretel is an immersive interactive story for kids that lets you – the listener – play the part of Hansel & Gretel OR the Evil Witch, living the stories from their point of view! Hansel and Gretel have a problem. The narrator of their story is really boring. So they tell him to get on with it! He is rather perturbed by this, characters aren’t supposed to talk back. Will they resolve their differences? Who really controls the story? What are the possible effects of eating too much gingerbread? And should they visit the incredibly big, ugly, evil ogre who eats children? It’s all up to you. Did you know there is another story called Red Riding Hood? To find out more check your Alexa app and look for Sonnar. Twisted Tales include: * Multiple choices and alternative endings * Possibility to play story from Hansel & Gretel and Evil Witch point of view * Professional voice acting * Immersive music * Flawless sound effects FEEDBACK: Please leave us a review if you like our skill. For more stories please visit search for sonnar interactive in your Alexa app."
Baby Buzz,https://www.amazon.com/Sweta-Baby-Buzz/dp/B07KG3SK5T/ref=sr_1_42?dchild=1&qid=1624647491&rnid=14284832011&s=alexa-skills&sr=1-42,"A fun game to teach different words like names of fruits, vegetables, animals, colors, days, months, planets etc to toddlers during the early development stage. Helps with memory and kills boredom. Just start the skill, listen to the category and reply with a name. You can skip by saying 'Next' or repeat the old one by saying 'Previous' or repeat the existing one by saying 'Repeat'. To terminate and exit the game, say 'Stop'."
Hide and Seek,https://www.amazon.com/Roy-Kincaid-Hide-and-Seek/dp/B077F51WWV/ref=sr_1_41?dchild=1&qid=1624647491&rnid=14284832011&s=alexa-skills&sr=1-41,"This is Alexa's premiere Hide and Seek experience, where you get to hide, and Alexa tries to find you. Pick your best hiding spot in the same room as your Alexa device, and remember to speak loudly so  she can hear you. If she can't guess where you are after three tries, then you win! If there are any additional hiding spots that you would like added to this skill, please leave a review and let me know so that I may add them. Thank you, and enjoy!"
Musical Games,https://www.amazon.com/TopVoiceApps-com-Musical-Games/dp/B07WD4MV55/ref=sr_1_38?dchild=1&qid=1624647491&rnid=14284832011&s=alexa-skills&sr=1-38,"Musical Chairs, Freeze Dancers, Musical Bumps and More! Bored? This compendium of active and super fun family games will keep everyone entertained for hours. Dance and sing to catchy tunes and throw your best shapes. Go on, go crazy!  Musical games currently available include: Musical Chairs (Trip to Jerusalem) Freeze Dancers (Musical Statues) Musical Bumps (We All Fall Down) Games coming soon include: Animal Dancers If You're Happy and You Know It Copy Clap Name the Instrument Spin The Microphone Dizzy Dancers Musical Clothes Hot Potato Pass The Parcel Ring Around The Rosie Dance, hop, clap, walk, crawl, jump, sing and shout to lots of different music tracks.  If you love Musical Games, please let us know! Feedback is always welcome at hello@topvoiceapps.com"
Lava floor,https://www.amazon.com/datenfakten-at-Lava-floor/dp/B078438MGR/ref=sr_1_40?dchild=1&qid=1624647491&rnid=14284832011&s=alexa-skills&sr=1-40,"Play ""The floor is lava"" with Alexa. It is played by people of all ages, in which the players imagine that the floor or ground is made of lava. Have fun. Hurry up, find a save place! ""The floor is lava"", the game for young and old. Now Alexa challenges you. Can you save yourself from the lava? One two three four five! Did you win against the lava! Fun for the whole family."
