skill_name,skill_link,skill_description
Graduation Countdown,https://www.amazon.com/Paige-Graduation-Countdown/dp/B07P5CWDFC/ref=sr_1_13?dchild=1&qid=1624647128&rnid=14284832011&s=alexa-skills&sr=1-13,Open the skill and Alexa will automatically tell you how many days remain until all your upcoming events. Alexa can also remind you about the exact date for a specific events. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
happy house,https://www.amazon.com/JIRATCHAYA-happy-house/dp/B089P4JS7N/ref=sr_1_21?dchild=1&qid=1624647130&rnid=14284832011&s=alexa-skills&sr=1-21,"Use this skill to keep track of chores that are assigned to each member of your household. You can ask Alexa to read the list of chores that are assigned to you each day, and you can log your chores as you complete them. Alexa automatically keeps score so you can complete with family members to see who finishes their chores first. Or last! The chore tracker automatically resets on Sunday each week. This skill was created using a Skill Blueprint."
House Work,https://www.amazon.com/Alexa-Blueprints-User-House-Work/dp/B086W2CTSV/ref=sr_1_17?dchild=1&qid=1624647130&rnid=14284832011&s=alexa-skills&sr=1-17,"Use this skill to keep track of chores that are assigned to each member of your household. You can ask Alexa to read the list of chores that are assigned to you each day, and you can log your chores as you complete them. Alexa automatically keeps score so you can complete with family members to see who finishes their chores first. Or last! The chore tracker automatically resets on Sunday each week. This skill was created using a Skill Blueprint.  Your requests to this skill are not shared with the skill developer."
Robot Rules (Setting Expectations),https://www.amazon.com/SayKid-Setting-Expectations-Robot-Rules/dp/B084WLMC1J/ref=sr_1_20?dchild=1&qid=1624647130&rnid=14284832011&s=alexa-skills&sr=1-20,"Robot Rules is a fun, educational experience designed to adults set expectations and help children understand and model behavior around common skills: such as using self-control, speaking clearly, listening while others are speaking, and looking at speakers when they are talking. About SayKid For more screen-less, play-based learning, search ""SayKid"" on the Alexa Skill Store. By combining voice technology and real-world, tangible play, we help educators and families learn together in a safe, natural, and engaging way - without screens! If you found the skill helpful, we greatly appreciate reviews! Awards - SayKid wins Grand Prize in the 2020 Alexa EdTech Competition  - Harvard names SayKid a Finalist in the Saul Zaentz Early Education Competition - SayKid wins MN Cup ""Moonshot"" Prize at US Bank Stadium"
Skills for Kids. Bat Facts,https://www.amazon.com/Skills-for-Kids-Bat-Facts/dp/B07DVJ12GF/ref=sr_1_19?dchild=1&qid=1624647130&rnid=14284832011&s=alexa-skills&sr=1-19,"Bat Facts is a skill that teaches toddlers and kids wide range of interesting facts about Bats. By default, the skill will play until you stop it. To stop the skill, say ""Alexa, stop.” To resume it again, say ""Alexa, resume."" Please leave a 5-star review if you love this Skill. Your 5-star reviews will encourage us to keep making more great skills for kids."
Beanstack Tracker,https://www.amazon.com/Zoobean-LLC-Beanstack-Tracker/dp/B07QQYJBFX/ref=sr_1_18?dchild=1&qid=1624647130&rnid=14284832011&s=alexa-skills&sr=1-18,"You must have a parent Beanstack account at a valid Library or School to use this skill. To find out if your Library or School uses Beanstack visit our website. Beanstack Tracker on Alexa is the easiest way to log reading for your Beanstack account! Finishing a title and logging is easy, just say 'Alexa, Open Beanstack Tracker'. Features: • Have your parents connect their Beanstack account to Alexa for easy logging • Quickly log finished titles by voice • Log for One Reader or All Readers in an account at the same time • Log books you’ve read before, or new books"
Bedtime Story for Kids,https://www.amazon.com/Wisdom-Is-Principal-Apps-Bedtime/dp/B07D23PYJW/ref=sr_1_25?dchild=1&qid=1624647130&rnid=14284832011&s=alexa-skills&sr=1-25,"Bedtime Story for Kids where we perform a new story for your children every week. The stories range from retellings of fairy tales like Snow White to classic stories like Peter Rabbit and even completely original works. Everything is G rated and safe for all ages. The perfect kids podcast for imaginative families. Whether you’re driving with your children or just want to limit your kids’ screen time, Stories Podcast delivers entertainment that kids and parents alike will love."
Animal Sounds,https://www.amazon.com/Quadrigo-Animal-Sounds/dp/B07GBVSBZN/ref=sr_1_24?dchild=1&qid=1624647130&rnid=14284832011&s=alexa-skills&sr=1-24,"Animal Sounds is a skill to help you your child guess the sounds of different animals and learn in a creative way.  You can say: ""Alexa, open Animal Sounds"" ""Alexa, start Animal Sounds"" ""Alexa, launch Animal Sounds"" Please leave a 5-star review if you love this skill, or send us an email with your suggestions at mridul.kabra23@gmail.com. Your 5-star reviews encourage us to keep making more great skills, thanks!"
Sensory Seeker,https://www.amazon.com/John-Nolen-Sensory-Seeker/dp/B084WVC4H4/ref=sr_1_26?dchild=1&qid=1624647130&rnid=14284832011&s=alexa-skills&sr=1-26,"As someone who has a child with sensory processing disorder, we often need to utilize different strategies to help calm down during a meltdown or in crowds. These are similar strategies Occupational Therapists use to help people with anxiety and sensory processing disorders. When helping our child with these strategies, we found that it also really helped adults as well.  These strategies help with anger episodes, anxiety, meltdowns, tension. Even if you do not have any of  diagnoses, this information can still be very helpful. Anytime any of these situations begin, just say ""Alexa, open sensory seeker,"" and a helpful strategy will be provided to help calm down. Between our echo devices and echo auto, it makes using this skill helpful in many areas. As someone who has a child with sensory processing disorder, we often need to utilize different strategies to help calm down during a meltdown or in crowds. These are similar strategies Occupational Therapists use to help people with anxiety and sensory processing disorders. When helping our child with these strategies, we found that it also really helped adults as well.  These strategies help with anger episodes, anxiety, meltdowns, tension. Even if you do not have any of  diagnoses, this information can still be very helpful. Anytime any of these situations begin, just say ""Alexa, open calm down,"" and a helpful strategy will be provided to help calm down. Between our echo devices and echo auto, it makes using this skill helpful in many areas."
Hello Kitty Fan Trivia Game,https://www.amazon.com/Hello-Kitty-Fan-Trivia-Game/dp/B01LZCB3KS/ref=sr_1_22?dchild=1&qid=1624647130&rnid=14284832011&s=alexa-skills&sr=1-22,"A simple trivia game to test your knowledge about Hello Kitty. Start the game by saying ""Alexa Start Kitty Trivia"". The trivia will give you multiple choice answers. Reply with the number of the correct answer. E.g. Alexa: ""What is the color of Hello Kitty's hair bow? 1 : Red, 2: Pink,  3: Blue, 4: Yellow"" User: ""1"" Alexa: ""Correct. Your score is 2"" Note: This skill is not sponsored or endorsed by Hello Kitty. It is an unofficial (fan) version."
Bug Facts for Kids,https://www.amazon.com/Ryan-Priest-Bug-Facts-Kids/dp/B07DKZ8DXZ/ref=sr_1_23?dchild=1&qid=1624647130&rnid=14284832011&s=alexa-skills&sr=1-23,"Bug Facts is a skill to help your kids learn all about our friends of the insect world! Educational and fun facts, all told by Alexa.  You can say: ""Alexa, open Bug Facts"" ""Alexa, start Bug Facts"" ""Alexa, play Bug Facts"" Please leave a 5-star review if you love this skill. Your 5-star reviews encourage us to keep making more great skills, thanks!"
Kid-do Multiplication - Times Table Learning Skill,https://www.amazon.com/Kid-do-Multiplication-Times-Table-Learning/dp/B08NW3H5N9/ref=sr_1_31?dchild=1&qid=1624647130&rnid=14284832011&s=alexa-skills&sr=1-31,"Kid-do Multiplication is a fun based multiplication learning skill for children of all ages, particularly those from 3 to 12 years. Skill provides features for learning, practicing and testing the time table or multiplication skills. Skill will start by using any of the following phrases.   'Alexa, start Table Robo' 'Alexa, open Table Robo'  'Alexa, launch Table Robo' Skill will ask user to select the mode i.e. Learn / Practice / Test. In learning mode, Alexa shall recite the times table for any chosen number from amongst 1 to 20.   In Practice mode, Alexa shall ask times table for any chosen number from amongst 1 to 20. Alexa shall offer help when asked. Also Alexa shall automatically provide the correct response when repeated mistakes are made. In testing mode, Alexa shall ask user to select a difficulty level from 1 till 5. Lower difficulty levels are suitable for relatively junior students and higher levels for senior students. Test shall comprise of 10 questions being asked one after the other. Best of Luck Kid! Good fun and great learning to you!"
Beewhiz,https://www.amazon.com/Beewhiz/dp/B07PBG2BGM/ref=sr_1_30?dchild=1&qid=1624647130&rnid=14284832011&s=alexa-skills&sr=1-30,"Simply choose your grade level (1-8) to get started. The words are taken from the Scripps spelling bee word lists.  You can ask to repeat the word, definition, etymology, and example sentence. Speak each letter loudly and clearly as there’s only one chance to spell it correctly just like the Scripps National Spelling Bee! Like you, I am a parent of a child who loves to learn words and compete in his school spelling bee. I would spend hours giving him words to spell and realized there should be an Alexa skill for this. After several sessions with Beewhiz on Alexa, my child can now beat me at this skill!"
Chore chart,https://www.amazon.com/The-McDonald-House-Chore-chart/dp/B087C38D73/ref=sr_1_29?dchild=1&qid=1624647130&rnid=14284832011&s=alexa-skills&sr=1-29,"Use this skill to keep track of chores that are assigned to each member of your household. You can ask Alexa to read the list of chores that are assigned to you each day, and you can log your chores as you complete them. Alexa automatically keeps score so you can complete with family members to see who finishes their chores first. Or last! The chore tracker automatically resets on Sunday each week. This skill was created using a Skill Blueprint.  Your requests to this skill are not shared with the skill developer."
Daily Math,https://www.amazon.com/Joseph-Samuel-Daily-Math/dp/B08KQF93G8/ref=sr_1_28?dchild=1&qid=1624647130&rnid=14284832011&s=alexa-skills&sr=1-28,"Daily Math helps you to sharpen your math skills in a simple playful way that the kids would love. It works even better on display devices. Typical usage Just say ""Alexa Open Daily Math"" to get started"
Chore chart,https://www.amazon.com/CORONAS-HOUSE-Chore-chart/dp/B0899GQQMN/ref=sr_1_27?dchild=1&qid=1624647130&rnid=14284832011&s=alexa-skills&sr=1-27,"Use this skill to keep track of chores that are assigned to each member of your household. You can ask Alexa to read the list of chores that are assigned to you each day, and you can log your chores as you complete them. Alexa automatically keeps score so you can complete with family members to see who finishes their chores first. Or last! The chore tracker automatically resets on Sunday each week. This skill was created using a Skill Blueprint.  Your requests to this skill are not shared with the skill developer."
Chore chart,https://www.amazon.com/House-wife-Chore-chart/dp/B0838X5VP5/ref=sr_1_32?dchild=1&qid=1624647130&rnid=14284832011&s=alexa-skills&sr=1-32,"Use this skill to keep track of chores that are assigned to each member of your household. You can ask Alexa to read the list of chores that are assigned to you each day, and you can log your chores as you complete them. Alexa automatically keeps score so you can complete with family members to see who finishes their chores first. Or last! The chore tracker automatically resets on Sunday each week. This skill was created using a Skill Blueprint.  Your requests to this skill are not shared with the skill developer."
World Languages,https://www.amazon.com/Prathit-Bondre-World-Languages/dp/B07RDB15HY/ref=sr_1_40?dchild=1&qid=1624647132&rnid=14284832011&s=alexa-skills&sr=1-40,"Alexa can help you learn new topics or study for your test. You can review the flash cards and then test your knowledge. At any point you can say ""Alexa, review mode"" to switch to review or say ""Alexa, test mode"" to start a test. You can say ""Alexa, next"" to move to the next card. At any point during the test, you can say ""Alexa, what's my score"" to get your current test score. This skill was created using a Skill Blueprint.  Your requests to this skill are not shared with the skill developer."
Suits Facts,https://www.amazon.com/Himanshu-Verma-Suits-Facts/dp/B07KD35LZ5/ref=sr_1_33?dchild=1&qid=1624647132&rnid=14284832011&s=alexa-skills&sr=1-33,Learn some mind blowing facts about suits.
4C Kids,https://www.amazon.com/Four-Corners-Church-4CKids-Kids/dp/B086GPDR75/ref=sr_1_37?dchild=1&qid=1624647132&rnid=14284832011&s=alexa-skills&sr=1-37,"Come back each week to listen to the new message. 4C Kids is the children's ministry of Four Corners Church. We create safe, fun, and engaging environments to partner with parents in raising kids who love Jesus. We offer classes for infants through 4th graders that meets during each service at Four Corners Church. Our services are at 9:15 & 11:00 am at 7740 Service Center Drive, West Chester, OH 45069.  You can pause and play by saying ""Alexa, pause"" and ""Alexa, resume."" Just say ""Alexa, stop"" when you're done for the day. When listening to podcasts you can say ""Alexa, shuffle"" to shuffle the playing order, or ""Alexa, loop"" to loop the current episode. You can also ask for previous and next episodes by saying ""Alexa, previous"" and ""Alexa, next""."
Ready Freddy,https://www.amazon.com/Kendall-Lake-Ready-Freddy/dp/B07CQ68G5C/ref=sr_1_36?dchild=1&qid=1624647132&rnid=14284832011&s=alexa-skills&sr=1-36,"Mornings are hard, but mornings with kids are harder. Parents have enough to deal with on their own when they start the day, but with a little help from Ready Freddy, they will have time to address their own needs (like sleep) and be able to teach their kids independence. Ready Freddy is an Amazon Alexa skill created to make mornings less hectic. Ready Freddy feels like a game to kids and an extra set of hands to parents. When launched, Ready Freddy guides children through morning tasks like brushing their teeth and getting dressed. Designed for kids in kindergarten to third grade, the skill is easy to start and exciting to use. Kids will love their new morning sidekick, and parents will love having time to swallow their coffee. Ready Freddy helps parents take the mornings back and gets kids out the door faster than ever before."
