skill_name,skill_link,skill_description
Cuántos días,https://www.amazon.com/%C2%A1MIGUE-How-many-days/dp/B091YFP3FG/ref=sr_1_16?dchild=1&qid=1624660566&s=alexa-skills&sr=1-16,Abre la skill y Alexa te dirá automáticamente cuántos días faltan para todos tus eventos próximos. Alexa también puede recordarte la fecha exacta de eventos específicos. Esta skill se creó usando un Skill Blueprint. Tus solicitudes para esta skill no se comparten con el desarrollador de la skill.
Amazon Storytime,https://www.amazon.com/Amazon-Education-Consumer-Team-Storytime/dp/B073X5FYVF/ref=sr_1_3?dchild=1&qid=1624660566&s=alexa-skills&sr=1-3,"Turn any time into story time with Amazon Storytime, a free Alexa skill for kids ages 5-12. Explore a collection of more than a hundred short stories featuring lively full-cast recordings. Kids can choose from story categories including bedtime, silly, family, friends, and more. Or spin the magic story wheel for a surprise set of stories. Check out super fun original stories from LEGO®, or go on an interactive story adventure with Ripley’s Believe It or Not. Try Saying Things Like: “Alexa, ask Amazon Storytime to tell me a Ripley’s story.” “Alexa, ask Amazon Storytime to tell me silly stories.” “Alexa, next,” to skip a story. “Alexa, start over,” to go back to the beginning of a story. “Alexa, pause,” to take a break, and “Alexa, resume” to continue listening."
Freeze Dancers,https://www.amazon.com/Pretzel-Labs-Freeze-Dancers/dp/B078THGXTG/ref=sr_1_15?dchild=1&qid=1624660566&s=alexa-skills&sr=1-15,"Crazy version of the classic Freeze Dance!  Dance in wacky ways and freeze when the music stops. If the kids are on a sugar rush or just having a crazy indoor day, open Freeze Dancers and let them go on and on and on. This game doesn't stop until the last kid drops! ***UPDATED on April 2019 with a brand new SPACE pack! While playing, try saying ALEXA, DANCE IN SPACE! *** If you like Freeze Dancers, please take the time to leave a review <3 Feedback is also always welcome at pretzel.voice@gmail.com  Check out www.pretzellabs.co for more fun skills and updates!  Happy dancing!  Music by: Ben Sound: https://www.bensound.com/ Purple Planet: http://www.purple-planet.com Audeeyah: https://audeeyah.com/free-royalty-free-music"
Kids Trivia,https://www.amazon.com/Gonzo-Studios-Kids-Trivia/dp/B0758NP4TN/ref=sr_1_14?dchild=1&qid=1624660566&s=alexa-skills&sr=1-14,"This skill is for all ages. It is sure to keep even the brightest young minds entertained and challenged. Kids Trivia is a voice interactive game in which questions are asked and two possible answers are given. Please respond with the number of the correct answer and this skill will let you know if you are correct. After the round is complete, Alexa will let you know your final score. Bring your friends and family along with you and see see who can get the higher score!"
Disney Stories,https://www.amazon.com/Disney-Stories/dp/B07BB4WWB3/ref=sr_1_2?dchild=1&qid=1624660566&s=alexa-skills&sr=1-2,"Disney Stories connects kids to beloved Disney and Pixar stories. Audio storytelling comes to life with magical read aloud narration, music, and sound effects. Children can discover stories on their own or you can enjoy reading adventures together as a family.  The first four stories are available to everyone:  1.The Lion King: A Day Without Pumbaa 2.Monsters, Inc.: Boo on the Loose 3.Disney Princess: Cinderella's Best Ever Creations 4.Pop Star Minnie You can unlock more stories by purchasing the Pack of 50 Disney Stories. After enabling this skill, you can say, “Alexa, ask Disney Stories what stories are available?” All the stories are available through Freetime Unlimited subscriptions.   Stories Available in the Pack of 50 Disney Stories: 1.101 Dalmatians 2.Aladdin 3.Beauty and the Beast 4.Big Hero 6 5.Brave 6.Cars 7.Christopher Robin: A Boy, A Bear, A Balloon 8.Coco 9.Disney Fairies: The Pirate Fairy - Adventure at Skull Rock 10.Disney Princess: Ariel's Dolphin Adventure 11.Disney Princess: Cinderella 12.Disney Princess: Pocahontas - A Little Mischief 13.Disney Princess: Snow White and the Magic of Friendship 14.Disney Princess: Tangled 15.Disney Villains: Cruella De Vil 16.Doc McStuffins: Leilani's Luau 17.Dumbo: Happy to Help 18.Finding Dory 19.Finding Nemo 20.Frozen 21.Frozen Fever 22.Incredibles 2 23.Inside Out: An Imaginary Friend 24.Mickey and Friends: Mickey’s Spooky Night 25.Mickey and the Roadster Racers: Race for the Rigatoni Ribbon 26.Mickey Mouse Club House: A Goofy Fairy Tale 27.Minnie: Year-Round Fun 28.Minnie's Bow-Toons: Trouble Times Two 29.Moana 30.Monsters, Inc. 31.Mulan 32.Peter Pan 33.Pinocchio 34.Puppy Dog Pals: Hawaii Pug-O 35.Ralph Breaks the Internet 36.Ratatouille 37.Sleeping Beauty 38.Sofia the First: Me and Our Mom 39.The Incredibles 40.The Jungle Book 41.The Lion Guard: The Return of the Roar 42.The Lion King 43.The Little Mermaid 44.The Princess and the Frog 45.Toy Story 46.Toy Story 2 47.Up 48.Vampirina: Scare B&B 49.Wreck-It Ralph 50.Zootopia  Copyright ©2018 Disney  Copyright ©2018 Disney/Pixar Privacy Policy:  https://privacy.thewaltdisneycompany.com/en/ Children’s Online Privacy Policy: https://privacy.thewaltdisneycompany.com/en/for-parents/childrens-online-privacy-policy/ Do Not Sell My Info: https://privacy.thewaltdisneycompany.com/en/dnsmi/ Terms of Use: https://disneytermsofuse.com/english/"
Kid Dancer,https://www.amazon.com/Flammily-Games-Kid-Dancer/dp/B083V22CYH/ref=sr_1_13?dchild=1&qid=1624660566&s=alexa-skills&sr=1-13,"Fun interactive dancing game for kids aged 3+. If your kid likes dancing, they will love kid dancer! Kid Dancer includes six fun levels: *Jungle *Outer Space *Desert *City *Ocean *Fairyland Loved by ages: 3-8! Did you like the game? Please leave us a review!"
A. I. R. Vocabulary,https://www.amazon.com/Education-Entrepreneurs-A-I-Vocabulary/dp/B07P8L9YHM/ref=sr_1_32?dchild=1&qid=1624660567&s=alexa-skills&sr=1-32,"Updated consistently, This skill will help you with vocabulary teaching how to spell along with the definition of the word used in the OHIO used A.I.R. Test.  Help children study while they have fun using Alexa!"
Animal Workout,https://www.amazon.com/For-Jack-Jill-Animal-Workout/dp/B077Y6XNK2/ref=sr_1_17?dchild=1&qid=1624660567&s=alexa-skills&sr=1-17,"The kids need something to do (or maybe you just need a break from the wonderful darlings).  Look no further - this skill, Animal Workout, allows kids to become different animals while getting exercise.  Animal Workout will offer up encouraging words as they go along to also boost motivation and confidence.  This skill is great for rainy days and sunny days too! When in the skill, to continue on say ‘More’ and when you’re finished say ‘All Done’. Update History: Dec 2020 - Removed in-skill purchasing and made all content free.  There is nothing purchasable and no upsells in this skill. Jun 2019 - Added expansion pack option with 55 new animals and moves including make-believe creatures, farm animals, bugs, and more May 2019 - Per user feedback, removed reference to climbing and fixed animal scrolling issue on echo spots Dec 2018 - Added voice over, sounds effects, and new music to all animals Oct 2018 - Added images for screen devices Jun 2018 - Added more animals, including a monster - rar! Voice over by Envy McKee Illustrations, including icon, by Drawkman Music from Chad Tenwick Audio, Pond 5, with introduction by FreeSFX"
"Fun, Cool and Interesting Words",https://www.amazon.com/Fun-Cool-and-Interesting-Words/dp/B082PFTPK7/ref=sr_1_31?dchild=1&qid=1624660567&s=alexa-skills&sr=1-31,"Fun, Cool and Interesting Words"
Chompers,https://www.amazon.com/Gimlet-Media-Chompers/dp/B079WCGTKX/ref=sr_1_30?dchild=1&qid=1624660567&s=alexa-skills&sr=1-30,"Make tooth time easy with this morning and night tooth brushing show for kids. When it’s time for your family to brush teeth, say “Alexa, start Chompers.”  Kids will hear jokes, riddles, stories, fun facts, silly songs and more, that’ll keep them giggling — and brushing — for the full two minutes that dentists recommend.  To help your family build good brushing habits, Chompers counts the times you brush and celebrates your streaks. Chompers will have kids reminding parents that it's time to brush, not the other way around! Recommended for tooth brushers ages 3 - 7.  Chompers is presented by Gimlet Media."
Disney Trivia,https://www.amazon.com/Disney-Trivia/dp/B07H44968P/ref=sr_1_29?dchild=1&qid=1624660567&s=alexa-skills&sr=1-29,"Welcome to Disney Trivia! Kids and families can test their knowledge on everything Disney, from movies, to television, to music, to the Disney Parks and Resorts.  One round of trivia is available to everyone. You can unlock more rounds by purchasing the Pack of 120 Disney Trivia questions. Additional rounds are also available through Freetime Unlimited subscriptions. Copyright ©2018 Disney  Copyright ©2018 Disney/Pixar Privacy Policy:  https://privacy.thewaltdisneycompany.com/en/ Children’s Online Privacy Policy: https://privacy.thewaltdisneycompany.com/en/for-parents/childrens-online-privacy-policy/ Do Not Sell My Info: https://privacy.thewaltdisneycompany.com/en/dnsmi/ Terms of Use: https://disneytermsofuse.com/english/"
Water Wise,https://www.amazon.com/lastmanchatting-Water-Wise/dp/B07NL7N68M/ref=sr_1_28?dchild=1&qid=1624660567&s=alexa-skills&sr=1-28,"Let’s teach our kids (and ourselves) to be thankful for every drop of water. Let them know how much water is wasted every day, and how to conserve it. Let them know how millions of people around the world have to walk miles, to just get a bucket of water. With an interesting , kid-friendly quiz format, WW teaches our kids and us, about how precious water is, and the ways we could adopt, to conserve this priceless resource. Look forward to your feedback – chatandsharefeedback@gmail.com You can say: ""Alexa, open Water Wise"" ""Alexa, start Water Wise"" ""Alexa, launch Water Wise"""
Sonidos de animales,https://www.amazon.com/Fidel-Aquino-Animal-sounds/dp/B07Q1D7S9M/ref=sr_1_26?dchild=1&qid=1624660567&s=alexa-skills&sr=1-26,"Descubre qué sonidos hacen los animales. ¿Alguna vez has escuchado el sonido de un oso hormiguero?, ¿una cebra o un mapache? ¡Descúbrelos!"
Freeze Dance,https://www.amazon.com/Appy-Sloth-Inc-Freeze-Dance/dp/B078S3DHXC/ref=sr_1_27?dchild=1&qid=1624660567&s=alexa-skills&sr=1-27,"Get ready to dance to these fun, kid-friendly beats as you and your child explore imaginary worlds together. When the music stops, practice freezing like statues. Then, get moving again when the music starts. Your child can dance their way through the alphabet or the Amazon Rainforest, learning a little about each subject along the way. This is a great game to play after school, during playdates, at parties, on rainy days, or when your child has some extra energy and needs to move. If you enjoy Freeze Dance, please leave us a review. Thank you! Music: DLSounds and Ben Sound"
Red Riding Hood - Interactive story for kids,https://www.amazon.com/Red-Riding-Hood-Interactive-story/dp/B07BC7G4JH/ref=sr_1_25?dchild=1&qid=1624660567&s=alexa-skills&sr=1-25,"*** UPDATE*** We have added support for Māori language - now you can learn and entertain at the same time! From the Twisted Tales library, Red Riding Hood is an immersive interactive story for kids that lets you – the listener – play the part of Red Riding Hood OR the Big Bad Wolf, living the stories from their point of view! Red Riding Hood is walking through the woods, taking a lovely meal to her ailing grandmother. She has been warned about the big bad wolf, but when she meets a shaggy stranger, he insists he is the big good wolf. Should she trust him? You decide. Will she survive the meeting? It’s all up to you. Currently there are two stories available. To play them, just say: “Alexa, open Red Riding Hood” or “Alexa, open Hansel & Gretel” Twisted Tales include: * Multiple choices and alternative endings * Possibility to play story from Red Riding Hood AND Big Bad Wold point of view * Professional voice acting * Immersive music * Flawless sound effects Māori version of the story was funded by Perpetual Guardian Trust New Zealand. FEEDBACK: Please leave us a review if you like our skill, or send us an email with your suggestions and what new stories would you like us to make at contact@sonnar.nz.  For more stories please visit www.sonnar.nz/twisted-tales or search for sonnar interactive in your Alexa app."
Skills for Kids. Elephant Facts,https://www.amazon.com/Skills-for-Kids-Elephant-Facts/dp/B07DVH9G5B/ref=sr_1_23?dchild=1&qid=1624660567&s=alexa-skills&sr=1-23,"Elephant Facts is a skill that teaches toddlers and kids wide range of interesting facts about Elephants. By default, the skill will play until you stop it. To stop the skill, say ""Alexa, stop.” To resume it again, say ""Alexa, resume."" Please leave a 5-star review if you love this Skill. Your 5-star reviews will encourage us to keep making more great skills for kids."
Kids Kitchen - Childrens cooking game,https://www.amazon.com/Kids-Kitchen-Childrens-cooking-game/dp/B078P8D1M1/ref=sr_1_24?dchild=1&qid=1624660567&s=alexa-skills&sr=1-24,"In Kids Kitchen you can create fantastical and crazy food! Start off by saying what type of cake you want to make, add some interesting ingredients, boil, fry blend and mix, then stick it in the oven, decorate and serve it to your friends!"
Quiz o Kid,https://www.amazon.com/rbs-Quiz-o-Kid/dp/B07DCPFKFX/ref=sr_1_22?dchild=1&qid=1624660567&s=alexa-skills&sr=1-22,"A fun exciting quiz for kids , making learning even interesting and playful . Easy questions , fun , knowledge , let's play :)!!!"
True False Science Quiz for Kids,https://www.amazon.com/True-False-Science-Quiz-Kids/dp/B088R8JCJN/ref=sr_1_21?dchild=1&qid=1624660567&s=alexa-skills&sr=1-21,"Hello Geniuses, True False Science Quiz for Kids is a Alexa Skill for the Kids who are interested in Science stuff!! This skill will challenge you 20 questions to test your science knowledge. I hope you find it easy :) I hope you enjoy this.. all the best!!"
Sleep Superpower: Sleep Missions for Kids,https://www.amazon.com/Sleep-Superpower-Missions-Kids/dp/B07BLXCFQB/ref=sr_1_19?dchild=1&qid=1624660567&s=alexa-skills&sr=1-19,"Sleep Superpower by Stop, Breathe & Think features sleep missions to help kids slow down, get cozy and ease into sleep. Designed for the Echo Show, the missions include fun, animated videos. It also works with audio only Echo devices. Email us at support@stopbreathethink.com with feedback! To get started, say ""Alexa, open Sleep Superpower"". You will then be prompted to say “Play Mission” to begin a mission chosen by us. Alternatively, you can say the name of the mission you would like to play or say ""List Missions"" to list available missions. Available Missions include:  - Bulldog Finds His Quiet Place  - Butterfly Bodyscan  - Rock-a-bye  - Night Crickets Finally, you can always say “Alexa, ask Sleep Superpower for Mission” to jump to another mission. And to exit say, ""Alexa, exit"". So go on a sleep mission and strengthen your sleep superpower! If Sleep Superpower helps you fall asleep, please give us a 5-star rating. And if you don't think it's worthy of 5-stars, please let us know how we can make it better by emailing us at support@stopbreathethink.com. WHO WE ARE: At Stop, Breathe & Think, we believe that taking a few minutes each day to feel the calm is as important as regular exercise. If we can help more of you regularly find peace of mind, we’re doing our part to help make the world a better place.  - Winner of the 2017 Webby People’s Voice Award for Health & Fitness  - Over 3,000,000 downloads and counting on iOS and Android! OUR OTHER SKILLS:  - ""Meditation Timer"" for timed soundscapes  - “Guided Meditation” for over 60 daily guided meditations  - “Sweet Dreams” for sleep sounds and meditations SUPPORT: We'd love to hear from you! If you have questions, comments, or feedback, please email us at support@stopbreathethink.com."
The SpongeBob Challenge,https://www.amazon.com/Nickelodeon-The-SpongeBob-Challenge/dp/B073X5CZLD/ref=sr_1_20?dchild=1&qid=1624660567&s=alexa-skills&sr=1-20,"Family night gets an extra serving of patty-flippin’ fun with Nickelodeon’s SpongeBob Challenge memory game on Alexa! Join the Krusty Krab crew, and take orders from the hungry citizens of Bikini Bottom. Work alongside your favorite characters, including SpongeBob, Squidward, and Mr. Krabs. Get ready to be challenged as the customers' orders get harder and harder. Nautical nonsense awaits, so join the Krusty Krab crew today!   To enable the skill, simply say ""Alexa, start the SpongeBob Challenge”.   To quit, just say ""Alexa, quit"" anytime during the game.   The SpongeBob Challenge skill is for kids and fans aged 6+.   For issues, questions, or comments please email us at amazonalexa@nick.com.  We want to hear directly from you!   ------------------------------------------------------------------------------------------------------------------------------  The SpongeBob Challenge Alexa Skill collects personal user data as well as non-personal user data (including aggregated data). User data collection is in accordance with applicable law, such as COPPA. User data may be used, for example, to respond to user requests; enable users to take advantage of certain features and services; customize the user experience and content; and manage and improve Nickelodeon's services. For more information regarding Nickelodeon’s use of data, please visit the Nickelodeon Group Privacy Policy below. Our Privacy Policy is in addition to any terms, conditions or policies agreed to between you and Amazon.com, Inc., and Nickelodeon and its affiliated entities, including Earplay, Inc. are not responsible for Amazon's collection or use of your personal user data and information. Use of this skill is subject to the Nickelodeon End User License Agreement. The SpongeBob Challenge Alexa Skill may include the use of anonymous persistent identifiers for skill management purposes and enabling this skill constitutes your permission to such usage of anonymous persistent identifiers for all users on your device. Disabling this skill will a) permanently disable use of a previous anonymous persistent identifier, and b) disconnect all user experience data from the previously related account managed by Amazon. End User License Agreement: http://www.nick.com/nick-eula/ Privacy Policy: http://www.nick.com/privacy-policy/ The End User License Agreement for this app includes arbitration for disputes – see FAQs: http://www.nick.com/faqs/ Skill description updated as of 07/11/2019"
Math Machine,https://www.amazon.com/Tree-Frog-Labs-Math-Machine/dp/B01LMG0DDE/ref=sr_1_18?dchild=1&qid=1624660567&s=alexa-skills&sr=1-18,"Math Machine is a simple game that challenges both your concentration and math skills. Once you launch the skill, you can choose from two activities. Math Facts can be used to drill basic math operations, such as ""5 plus 6"" or ""4 times 8"". Just say, ""Play math facts,"" or ""Test addition facts up to five."" Operations Challenge will test your concentration and math speed. You will start with a simple problem, such as ""5 minus 3,"" but each successive problem will add another operation. How far can your skills take you? Just say, ""Play the operations challenge,"" or ""Try the operations challenge with five operations"" to get started. If you didn't hear a problem, just ask Alexa to repeat it. NOTE: For the Operations Challenge, all operations should be performed in the order in which they are spoken, so 5 - 2 * 3 should be calculated as 5 - 2 = 3, then 3 * 3 = 9."
Story Time,https://www.amazon.com/Intrinsic-Software-Story-Time/dp/B078XDQG6Z/ref=sr_1_48?dchild=1&qid=1624660568&s=alexa-skills&sr=1-48,"The fun stories told by Story Time are full of questions that will test the listener's skills in various areas such as math, currency, time, and listening comprehension."
Bedtime Story,https://www.amazon.com/Ty-Bedtime-Story/dp/B083LLFKHZ/ref=sr_1_47?dchild=1&qid=1624660568&s=alexa-skills&sr=1-47,Play an interactive adventure-themed story with sound effects and prompts. Get ready for laughs and giggles as players fill in the blanks. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
Graduation Countdown,https://www.amazon.com/Paige-Graduation-Countdown/dp/B07P5CWDFC/ref=sr_1_46?dchild=1&qid=1624660568&s=alexa-skills&sr=1-46,Open the skill and Alexa will automatically tell you how many days remain until all your upcoming events. Alexa can also remind you about the exact date for a specific events. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
