skill_name,skill_link,skill_description
Kids Baseball Jokes,https://www.amazon.com/karenh-Kids-Baseball-Jokes/dp/B07GYVXKB5/ref=sr_1_14?dchild=1&qid=1624647825&rnid=14284832011&s=alexa-skills&sr=1-14,Kids Baseball Jokes This skill was built with love by VoiceApps.com.  Visit us to create your own skill in minutes!
Chatty Cat,https://www.amazon.com/midnight-wrench-Chatty-Cat/dp/B07DGP2Q62/ref=sr_1_15?dchild=1&qid=1624647825&rnid=14284832011&s=alexa-skills&sr=1-15,This skill will listen to what you say and will respond with different cat sounds.  I built this skill so my kids could pretend that we still had a cat in the house.  Speak to the Chatty Cat like she's your pet and listen to how she responds.  I hope you enjoy using this skill.  Icon illustrator Taniel Harvey (c)2018
Haiku Reader,https://www.amazon.com/Sarah-Goismier-Haiku-Reader/dp/B07NL2L8LF/ref=sr_1_12?dchild=1&qid=1624647825&rnid=14284832011&s=alexa-skills&sr=1-12,Having trouble to find good stories to tell your kids at bedtime ? No worries Haiku Reader is here to help you with that. Haiku Reader will read beautiful short Japanese poems to your kids.
Disney Personality Quiz,https://www.amazon.com/Disney-Personality-Quiz/dp/B07J1W33DP/ref=sr_1_13?dchild=1&qid=1624647825&rnid=14284832011&s=alexa-skills&sr=1-13,"Welcome to Disney Personality Quiz! Are you ready to find out what type of Pascal you are? Answer a series of fun-filled Disney questions and get your magically personalized results.  You can unlock more quizzes by purchasing the Pack of 24 Disney Personality Quizzes. Additional quizzes are also available through Freetime Unlimited subscriptions. Quizzes available in the Pack of 24 Disney Personality Quizzes: 1.Are you the Judy Hopps of Your Friend Group? 2.Are you more like Lilo or Stitch? 3.Are You Feeling Like Mickey Mouse Today? 4.Build a Potion and We'll Tell You Which Disney Villain Sidekick You Are 5.Are You More like Olaf or Sven? 6.Are you Feeling Like a Disney Princess Today? 7.Which Disney Chef are you? 8.Which Disney Dance Move Should You Do? 9.Which Buzz Lightyear persona are you most like? 10.Can We Guess if You Prefer Churros or Mickey Ice Cream Bars? 11.What Personality Traits Do You Share With Disney Princesses? 12.Are You the loveable T-Rex, Rex, in Your Friend Group? 13.Which Lion King Character Are You Most Like? 14.Which Disney Party Should You Throw? 15.Are You Feeling Like Dory today? 16.Which Region of Zootopia Should You Live In? 17.Which Character From Aladdin Are You Most Like? 18.Where is Your Supersuit?  19.Who Should Be Your Disney Mentor? 20.Are You More Like Lightning McQueen or Mater? 21.What Do You Have In Common With Disney Sidekicks? 22.Who Should Your Best Friend Be: Moana or Maui? 23.Which Disney Critter Should Be Your Animal Friend? 24.What Disney Pixar Adventure Should You Go On Today?  Copyright ©2018 Disney  Copyright ©2018 Disney/Pixar Privacy Policy:  https://privacy.thewaltdisneycompany.com/en/ Children’s Online Privacy Policy: https://privacy.thewaltdisneycompany.com/en/for-parents/childrens-online-privacy-policy/ Do Not Sell My Info: https://privacy.thewaltdisneycompany.com/en/dnsmi/ Terms of Use: https://disneytermsofuse.com/english/"
Green Stuff,https://www.amazon.com/Digital-Dozen-Green-Stuff/dp/B0829LYDSF/ref=sr_1_7?dchild=1&qid=1624647825&rnid=14284832011&s=alexa-skills&sr=1-7,"Green Stuff takes you on adventure to solve environmental problems and help our dear planet Earth and its inhabitants. On your journey you will be presented with different choices, and your decisions will lead to different outcomes. Hence, have fun and choose wisely. Just a tip: being curious, brave, and caring always helps!"
SpongeBob Alarm,https://www.amazon.com/Nickelodeon-SpongeBob-Alarm/dp/B08N5PTK26/ref=sr_1_11?dchild=1&qid=1624647825&rnid=14284832011&s=alexa-skills&sr=1-11,Wake up with SpongeBob. He's ready! Are you?
Thinking of you,https://www.amazon.com/David-Hackett-Thinking-of-you/dp/B095KS3596/ref=sr_1_19?dchild=1&qid=1624647828&rnid=14284832011&s=alexa-skills&sr=1-19,Play a Valentine's Day greeting card for your loved one. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
World's Best Mom,https://www.amazon.com/Paawani-Mittal-Worlds-Best-Mom/dp/B094RB5N1G/ref=sr_1_21?dchild=1&qid=1624647828&rnid=14284832011&s=alexa-skills&sr=1-21,"Celebrate mother's day  with happiness, laughter. any point, you can say ""Alexa, stop"" to exit the skill."
How Many Days,https://www.amazon.com/RS3-How-Many-Days/dp/B08ZSR9151/ref=sr_1_27?dchild=1&qid=1624647828&rnid=14284832011&s=alexa-skills&sr=1-27,Open the skill and Alexa will automatically tell you how many days remain until all your upcoming events. Alexa can also remind you about the exact date for a specific events. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
Compliments Ma,https://www.amazon.com/C0ders-Compliments-Ma/dp/B095CHD3G7/ref=sr_1_20?dchild=1&qid=1624647828&rnid=14284832011&s=alexa-skills&sr=1-20,"Celebrate mom with a list of awesome compliments. At any point, you can say ""Alexa, stop"" to exit the skill."
Who's turn?,https://www.amazon.com/Darren-Carter-Whos-turn/dp/B08ZFT46CF/ref=sr_1_28?dchild=1&qid=1624647828&rnid=14284832011&s=alexa-skills&sr=1-28,"Next time you're trying to decide whose turn it is to pick something or perform a task, just ask Alexa for help. For example, kids always arguing about Who’s turn it is to wash up, sit in the front seat, who needs a shower first, trying to decide whose turn it is to pick a movie Alexa can randomly select someone's name from the list. Or if you're trying to decide who should take out the trash, Alexa can help with that too!"
Fuzzible,https://www.amazon.com/Creativity-Inc-Fuzzible/dp/B08HJQHKTD/ref=sr_1_17?dchild=1&qid=1624647828&rnid=14284832011&s=alexa-skills&sr=1-17,"The worlds of plush and technology collide with the kid friendly Fuzzible skill for Alexa! Fuzzible Friends™ are adorably soft, plush animals that speak their own unique language. When paired with a compatible Amazon Echo device, the Fuzzible skill for Alexa magically translates their funny little language to yours!  Once you’ve successfully paired your Fuzzible Friend with your Echo device and enabled the skill, Alexa will indicate that your Fuzzible plush is ready to play. Just squeeze your Fuzzible’s left paw to begin interacting and watch as its antenna lights up. When playing connected to an Amazon Echo device, your child can interact with their Fuzzible Friend by playing color guessing games, choosing their own story adventure and more! Fuzzible Friends™ plush have over 40 sounds and 140 translated Alexa phrases!  Hardware requirements: 1 Fuzzible Friend plush and 1 compatible Amazon Echo device. To enable the skill, simply say “Alexa, let’s play Fuzzible Friends™.”  To quit, just say “Alexa, stop” anytime during connected play.  -------------------------------------------------------------------------------------------------------------------------------------------- The Fuzzible Skill for Alexa may include the use of anonymous persistent identifiers for skill management purposes and enabling this skill constitutes your permission to such usage of anonymous persistent identifiers for all users on your device. Disabling this skill will a) permanently disable use of previous anonymous persistent identifier, and b) disconnect all user experience data from previously related account managed by Amazon."
Funny jokes,https://www.amazon.com/Rivcat-Funny-jokes/dp/B08ZYL4HLZ/ref=sr_1_26?dchild=1&qid=1624647828&rnid=14284832011&s=alexa-skills&sr=1-26,"Try these lighthearted jokes to add more fun to your day. When using the skill, you can say ""Alexa, next"" to move to the next joke. At any point, you can say ""Alexa, stop"" to leave. Now laugh your butt off!"
Scooby Doo! Mystery Inc. Theater,https://www.amazon.com/Scooby-Doo-Mystery-Inc-Theater/dp/B0766625N6/ref=sr_1_18?dchild=1&qid=1624647828&rnid=14284832011&s=alexa-skills&sr=1-18,"Zoinks! Put on your detective hat and experience the spooks and sounds of Scooby Doo! Mystery Inc. Theater. This interactive storytelling experience puts you in control as you choose where and how the story unfolds. Work alongside your favorite characters including Scooby-Doo, Shaggy, Fred, Daphne and Velma to unravel the secrets behind their latest caper. Get ready to be challenged by the seemingly supernatural…things are not always what they seem. The mystery awaits, so gather ‘round and get solving! To Enable the skill, simply say ""Alexa, enable Scooby-Doo"" To open the skill, try ""Alexa, open Scooby-Doo"" To quit, just say “Alexa, quit” anytime during the game."
Who's turn,https://www.amazon.com/Meep-Whos-turn/dp/B093C1L3F4/ref=sr_1_23?dchild=1&qid=1624647828&rnid=14284832011&s=alexa-skills&sr=1-23,"Next time you're trying to decide whose turn it is pick something or perform a task, just ask Alexa for help. For example, if you're trying to decide whose turn it is to pick a movie on movie night, Alexa can randomly select someone's name from the list. Or if you're trying to decide who should take out the trash, Alexa can help with that too!"
Mom's Story,https://www.amazon.com/Mag-textiles-Moms-Story/dp/B094R8Z8M3/ref=sr_1_22?dchild=1&qid=1624647828&rnid=14284832011&s=alexa-skills&sr=1-22,Listen to a personalized story that's all about mom and narrated by Alexa.
Quién le toca,https://www.amazon.com/Guzman-Who-touches-him/dp/B08Z2SKBQJ/ref=sr_1_32?dchild=1&qid=1624647828&rnid=14284832011&s=alexa-skills&sr=1-32,"La próxima vez que estés tratando de decidir a quién le toca escoger algo o hacer alguna tarea, solo pídele a Alexa que te ayude. Por ejemplo, si estás tratando de decidir a quién le toca escoger una película en una noche de película, Alexa puede seleccionar al azar el nombre de alguien de la lista. O si estás tratando de decidir quién debe sacar la basura, ¡Alexa también puede ayudar con eso!"
How Many Days,https://www.amazon.com/Peter-Hopkins-How-Many-Days/dp/B0922X3H3W/ref=sr_1_24?dchild=1&qid=1624647828&rnid=14284832011&s=alexa-skills&sr=1-24,Open the skill and Alexa will automatically tell you how many days remain until all your upcoming events. Alexa can also remind you about the exact date for a specific events. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
Whose Turn,https://www.amazon.com/Andrew-Whose-Turn/dp/B0916B6TSH/ref=sr_1_25?dchild=1&qid=1624647828&rnid=14284832011&s=alexa-skills&sr=1-25,"Next time you're trying to decide whose turn it is pick something or perform a task, just ask Alexa for help. For example, if you're trying to decide whose turn it is to pick a movie on movie night, Alexa can randomly select someone's name from the list. Or if you're trying to decide who should take out the trash, Alexa can help with that too!"
Who's next,https://www.amazon.com/Dorothy-Whos-next/dp/B08Z848DZ9/ref=sr_1_31?dchild=1&qid=1624647828&rnid=14284832011&s=alexa-skills&sr=1-31,"Next time you're trying to decide whose turn it is pick something or perform a task, just ask Alexa for help. For example, if you're trying to decide whose turn it is to pick a movie on movie night, Alexa can randomly select someone's name from the list. Or if you're trying to decide who should take out the trash, Alexa can help with that too!"
Valentine's Greeting,https://www.amazon.com/Barry-Valentines-Greeting/dp/B08ZD1JVM9/ref=sr_1_29?dchild=1&qid=1624647828&rnid=14284832011&s=alexa-skills&sr=1-29,Play a Valentine's Day greeting card for your loved one. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
Hello abigail,https://www.amazon.com/Thomas-Hello-abigail/dp/B08XMKH8TY/ref=sr_1_38?dchild=1&qid=1624647830&rnid=14284832011&s=alexa-skills&sr=1-38,Alexa quizzes you on trivia topics. Provide the answer and try to achieve a high score. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
let's celebrate,https://www.amazon.com/Emily-lets-celebrate/dp/B08YR8X8HF/ref=sr_1_33?dchild=1&qid=1624647830&rnid=14284832011&s=alexa-skills&sr=1-33,"Celebrate when a simple task is done. When you open the skill, Alexa will show one slide and show appreciation for your achievements. You can say ""Alexa, stop"" to exit anytime."
Whose Turn,https://www.amazon.com/Not-my-turn-Whose-Turn/dp/B08XMKZTLC/ref=sr_1_37?dchild=1&qid=1624647830&rnid=14284832011&s=alexa-skills&sr=1-37,"Next time you're trying to decide whose turn it is pick something or perform a task, just ask Alexa for help. For example, if you're trying to decide whose turn it is to pick a movie on movie night, Alexa can randomly select someone's name from the list. Or if you're trying to decide who should take out the trash, Alexa can help with that too!"
Chloe Lily's Compliments,https://www.amazon.com/Chloe-Lily-Rose-Lilys-Compliments/dp/B08XXGHY4N/ref=sr_1_34?dchild=1&qid=1624647830&rnid=14284832011&s=alexa-skills&sr=1-34,"Alexa, it’s about time you give some compliments to their family! And by their, I mean YOUR family. You can even give compliments to yourself! Great for when you feel kind and/or help yourself during a bad day  Luv, Chloe Lily Rose ✨"
Big day,https://www.amazon.com/Deb-Big-day/dp/B08XMPGTFF/ref=sr_1_36?dchild=1&qid=1624647830&rnid=14284832011&s=alexa-skills&sr=1-36,Open the skill and Alexa will automatically tell you how many days remain until all your upcoming events. Alexa can also remind you about the exact date for a specific events. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
Thinking of You,https://www.amazon.com/Keeks-Thinking-of-You/dp/B08WRD5LYN/ref=sr_1_42?dchild=1&qid=1624647830&rnid=14284832011&s=alexa-skills&sr=1-42,"Celebrate special occasions with your loved ones. When you open the skill, Alexa will play a slideshow with rich images and audio. You can say ""Alexa, stop"" to exit anytime."
aditya birthday,https://www.amazon.com/Aditya-raj-aditya-birthday/dp/B08Z8C4BW8/ref=sr_1_30?dchild=1&qid=1624647828&rnid=14284832011&s=alexa-skills&sr=1-30,"Celebrate special occasions with your loved ones. When you open the skill, Alexa will play a slideshow with rich images and audio. You can say ""Alexa, stop"" to exit anytime."
Hoy le toca,https://www.amazon.com/Anndy-Villarreal-Today-its-up/dp/B08XQXSPDM/ref=sr_1_35?dchild=1&qid=1624647830&rnid=14284832011&s=alexa-skills&sr=1-35,"La próxima vez que estés tratando de decidir a quién le toca escoger algo o hacer alguna tarea, solo pídele a Alexa que te ayude. Por ejemplo, si estás tratando de decidir a quién le toca escoger una película en una noche de película, Alexa puede seleccionar al azar el nombre de alguien de la lista. O si estás tratando de decidir quién debe sacar la basura, ¡Alexa también puede ayudar con eso!"
Cuantos faltan,https://www.amazon.com/Alex-How-many-are-missing/dp/B08X1HGMNG/ref=sr_1_41?dchild=1&qid=1624647830&rnid=14284832011&s=alexa-skills&sr=1-41,Abre la skill y Alexa te dirá automáticamente cuántos días faltan para todos tus eventos próximos. Alexa también puede recordarte la fecha exacta de eventos específicos. Esta skill se creó usando un Skill Blueprint. Tus solicitudes para esta skill no se comparten con el desarrollador de la skill.
Mom's Story,https://www.amazon.com/Andrew-Moms-Story/dp/B08X1RRXFY/ref=sr_1_40?dchild=1&qid=1624647830&rnid=14284832011&s=alexa-skills&sr=1-40,Listen to a personalized story that's all about mom and narrated by Alexa.
Whose turn,https://www.amazon.com/Hometech-IT-Handyman-Whose-turn/dp/B08TC889PF/ref=sr_1_48?dchild=1&qid=1624647830&rnid=14284832011&s=alexa-skills&sr=1-48,"Next time you're trying to decide whose turn it is pick something or perform a task, just ask Alexa for help. For example, if you're trying to decide whose turn it is to pick a movie on movie night, Alexa can randomly select someone's name from the list. Or if you're trying to decide who should take out the trash, Alexa can help with that too!"
Kings birthday,https://www.amazon.com/Stevie-B-Kings-birthday/dp/B08XMH1B2W/ref=sr_1_39?dchild=1&qid=1624647830&rnid=14284832011&s=alexa-skills&sr=1-39,Open the skill and Alexa will automatically tell you how many days remain until all your upcoming events. Alexa can also remind you about the exact date for a specific events. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
Valentine's card,https://www.amazon.com/Dinah-Valentines-card/dp/B08TWWN68B/ref=sr_1_47?dchild=1&qid=1624647830&rnid=14284832011&s=alexa-skills&sr=1-47,Play a Valentine's Day greeting card for your loved one. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
Hoy le toca,https://www.amazon.com/Viking-Export-Today-its-up/dp/B08V1WKTS3/ref=sr_1_46?dchild=1&qid=1624647830&rnid=14284832011&s=alexa-skills&sr=1-46,"La próxima vez que estés tratando de decidir a quién le toca escoger algo o hacer alguna tarea, solo pídele a Alexa que te ayude. Por ejemplo, si estás tratando de decidir a quién le toca escoger una película en una noche de película, Alexa puede seleccionar al azar el nombre de alguien de la lista. O si estás tratando de decidir quién debe sacar la basura, ¡Alexa también puede ayudar con eso!"
Whose Turn,https://www.amazon.com/Mommy-Whose-Turn/dp/B08W8G23J1/ref=sr_1_44?dchild=1&qid=1624647830&rnid=14284832011&s=alexa-skills&sr=1-44,"Next time you're trying to decide whose turn it is pick something or perform a task, just ask Alexa for help. For example, if you're trying to decide whose turn it is to pick a movie on movie night, Alexa can randomly select someone's name from the list. Or if you're trying to decide who should take out the trash, Alexa can help with that too!"
My Birthday,https://www.amazon.com/Cortland-Guse-My-Birthday/dp/B08VN74DYR/ref=sr_1_45?dchild=1&qid=1624647830&rnid=14284832011&s=alexa-skills&sr=1-45,Open the skill and Alexa will automatically tell you how many days remain until all your upcoming events. Alexa can also remind you about the exact date for a specific events. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
my name picker,https://www.amazon.com/vent-my-name-picker/dp/B08W9G7Y4N/ref=sr_1_43?dchild=1&qid=1624647830&rnid=14284832011&s=alexa-skills&sr=1-43,"Next time you're trying to decide whose turn it is pick something or perform a task, just ask Alexa for help. For example, if you're trying to decide whose turn it is to pick a movie on movie night, Alexa can randomly select someone's name from the list. Or if you're trying to decide who should take out the trash, Alexa can help with that too!"
Quién toca,https://www.amazon.com/Laura-Contreras-Who-plays/dp/B08T9ZLVHR/ref=sr_1_49?dchild=1&qid=1624647832&rnid=14284832011&s=alexa-skills&sr=1-49,"La próxima vez que estés tratando de decidir a quién le toca escoger algo o hacer alguna tarea, solo pídele a Alexa que te ayude. Por ejemplo, si estás tratando de decidir a quién le toca escoger una película en una noche de película, Alexa puede seleccionar al azar el nombre de alguien de la lista. O si estás tratando de decidir quién debe sacar la basura, ¡Alexa también puede ayudar con eso!"
Who's next,https://www.amazon.com/Shay-Whos-next/dp/B08R3PWVZH/ref=sr_1_64?dchild=1&qid=1624647832&rnid=14284832011&s=alexa-skills&sr=1-64,"Next time you're trying to decide whose turn it is pick something or perform a task, just ask Alexa for help. For example, if you're trying to decide whose turn it is to pick a movie on movie night, Alexa can randomly select someone's name from the list. Or if you're trying to decide who should take out the trash, Alexa can help with that too!"
The Big Pick,https://www.amazon.com/The-big-Pick-Big/dp/B08R3R5XVG/ref=sr_1_62?dchild=1&qid=1624647832&rnid=14284832011&s=alexa-skills&sr=1-62,"Next time you're trying to decide whose turn it is pick something or perform a task, just ask Alexa for help. For example, if you're trying to decide whose turn it is to pick a movie on movie night, Alexa can randomly select someone's name from the list. Or if you're trying to decide who should take out the trash, Alexa can help with that too! Just say, Alexa, Open The Big Pick."
Santas letter grace,https://www.amazon.com/Dawn-Nolan-Santas-letter-grace/dp/B08R3RGZDH/ref=sr_1_61?dchild=1&qid=1624647832&rnid=14284832011&s=alexa-skills&sr=1-61,Write and send a letter to Santa. Then check back every day to track its progress to the North Pole. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
Guess who's turn,https://www.amazon.com/Tiffany-Guess-whos-turn/dp/B08R3QKL76/ref=sr_1_63?dchild=1&qid=1624647832&rnid=14284832011&s=alexa-skills&sr=1-63,"Next time you're trying to decide whose turn it is pick something or perform a task, just ask Alexa for help. For example, if you're trying to decide whose turn it is to pick a movie on movie night, Alexa can randomly select someone's name from the list. Or if you're trying to decide who should take out the trash, Alexa can help with that too!"
Family Jokes,https://www.amazon.com/Virginia-Family-Jokes/dp/B08R65S123/ref=sr_1_60?dchild=1&qid=1624647832&rnid=14284832011&s=alexa-skills&sr=1-60,"Try these lighthearted jokes to add more fun to your day. When using the skill, you can say ""Alexa, next"" to move to the next joke. At any point, you can say ""Alexa, stop"" to exit the skill. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer."
Whose Turn,https://www.amazon.com/J-B-Whose-Turn/dp/B08R6673GH/ref=sr_1_59?dchild=1&qid=1624647832&rnid=14284832011&s=alexa-skills&sr=1-59,"Next time you're trying to decide whose turn it is pick something or perform a task, just ask Alexa for help. For example, if you're trying to decide whose turn it is to pick a movie on movie night, Alexa can randomly select someone's name from the list. Or if you're trying to decide who should take out the trash, Alexa can help with that too!"
Cumpleaños de Daniel,https://www.amazon.com/Trino-Alfaro-Daniels-Birthday/dp/B08R8WLPG2/ref=sr_1_58?dchild=1&qid=1624647832&rnid=14284832011&s=alexa-skills&sr=1-58,Abre la skill y Alexa te dirá automáticamente cuántos días faltan para todos tus eventos próximos. Alexa también puede recordarte la fecha exacta de eventos específicos. Esta skill se creó usando un Skill Blueprint. Tus solicitudes para esta skill no se comparten con el desarrollador de la skill.
Whose Turn,https://www.amazon.com/Dani-Whose-Turn/dp/B08RDTTHH8/ref=sr_1_57?dchild=1&qid=1624647832&rnid=14284832011&s=alexa-skills&sr=1-57,"Next time you're trying to decide whose turn it is pick something or perform a task, just ask Alexa for help. For example, if you're trying to decide whose turn it is to pick a movie on movie night, Alexa can randomly select someone's name from the list. Or if you're trying to decide who should take out the trash, Alexa can help with that too!"
World's Best Mom,https://www.amazon.com/Tiszus-Worlds-Best-Mom/dp/B08SCT31HJ/ref=sr_1_53?dchild=1&qid=1624647832&rnid=14284832011&s=alexa-skills&sr=1-53,"Celebrate mom with a list of awesome compliments. At any point, you can say ""Alexa, stop"" to exit the skill."
Dónde caigo,https://www.amazon.com/Santy-Diaz-Where-do-fall/dp/B08RZ8KHG8/ref=sr_1_55?dchild=1&qid=1624647832&rnid=14284832011&s=alexa-skills&sr=1-55,"La próxima vez que estés tratando de decidir a quién le toca escoger algo o hacer alguna tarea, solo pídele a Alexa que te ayude. Por ejemplo, si estás tratando de decidir a quién le toca escoger una película en una noche de película, Alexa puede seleccionar al azar el nombre de alguien de la lista. O si estás tratando de decidir quién debe sacar la basura, ¡Alexa también puede ayudar con eso!"
Whose Turn,https://www.amazon.com/Leslie-Whose-Turn/dp/B08RZ4TMS1/ref=sr_1_56?dchild=1&qid=1624647832&rnid=14284832011&s=alexa-skills&sr=1-56,"Next time you're trying to decide whose turn it is pick something or perform a task, just ask Alexa for help. For example, if you're trying to decide whose turn it is to pick a movie on movie night, Alexa can randomly select someone's name from the list. Or if you're trying to decide who should take out the trash, Alexa can help with that too!"
Harvey Listening Quiz,https://www.amazon.com/Harvey-Emanuels-Listening-Quiz/dp/B08T1DCFK1/ref=sr_1_51?dchild=1&qid=1624647832&rnid=14284832011&s=alexa-skills&sr=1-51,Alexa will read aloud to you and ask you questions about each passage. Test your listening comprehension by remembering facts and details. Answer correctly and achieve a high score. This skill was created using a Skill Blueprint. Your requests to this skill are not shared with the skill developer.
Sidd Alien Story,https://www.amazon.com/Rohit-Rajdev-Sidd-Alien-Story/dp/B08S39CRDQ/ref=sr_1_54?dchild=1&qid=1624647832&rnid=14284832011&s=alexa-skills&sr=1-54,Play a science fiction Story with sound effects and prompts. Get ready for laughs and giggles.
Whose Turn,https://www.amazon.com/Yella-Whose-Turn/dp/B08SMGZT1G/ref=sr_1_52?dchild=1&qid=1624647832&rnid=14284832011&s=alexa-skills&sr=1-52,"Next time you're trying to decide whose turn it is pick something or perform a task, just ask Alexa for help. For example, if you're trying to decide whose turn it is to pick a movie on movie night, Alexa can randomly select someone's name from the list. Or if you're trying to decide who should take out the trash, Alexa can help with that too!"
